,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
32,ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018/8/28,1596532,2004
33,ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017/6/19,1013462,1969
34,AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",1996/4/23,315293,1982 (1919)
35,AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017/7/26,91142,1916
36,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997/7/28,1841666,1954
37,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985/4/30,2969,1940
38,APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",2008/9/30,820313,1932
39,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",2024/12/23,1858681,1990
40,APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",2012/12/24,1521332,1994
41,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017/3/20,1035443,1994
42,ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2019/2/15,731802,1906
43,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",2007/1/10,915912,1978
44,AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",2014/5/8,1730168,1961
45,AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",1987/12/31,8818,1935
46,AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016/3/4,1410636,1886
47,AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",2023/5/4,1069183,1993
48,AXP,American Express,Financials,Consumer Finance,"New York City, New York",1976/6/30,4962,1850
49,AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1997/1/2,866787,1979
50,BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",1957/3/4,12927,1916
51,BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",1976/6/30,70858,1998 (1923 / 1874)
52,BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",1984/10/31,9389,1880
53,BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",1972/9/30,10456,1931
54,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999/6/29,764478,1966
55,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972/9/30,10795,1897
56,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",1998/4/30,38777,1947
57,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982/10/31,14693,1870
58,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",2023/3/15,1996862,1818
59,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",2003/11/13,875045,1978
60,BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1995/3/31,1390777,1784
61,BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",2009/11/6,1075531,1996
62,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017/7/7,1701605,2017
63,BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas",2023/12/18,1316835,1998
64,BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",2011/4/4,2012383,1988
65,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",1957/3/4,14272,1989 (1887)
66,BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",2018/6/18,1383312,1962
67,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010/2/16,1067983,1839
68,BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",2021/9/20,79282,1939
69,BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1995/2/24,885725,1979
70,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023/9/18,1393818,1985
71,BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",2006/4/3,1037540,1970
72,C,Citigroup,Financials,Diversified Banks,"New York City, New York",1988/5/31,831001,1998
73,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983/8/31,23217,1919
74,CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1997/5/27,721371,1971
75,CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",2020/4/3,1783180,"2020 (1915, United Technologies spinoff)"
76,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1957/3/4,18230,1925
77,CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010/7/15,896159,1985
78,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017/3/1,1374310,1973
79,CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",2006/11/10,1138118,1906
80,CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",2012/3/14,1051470,1994
81,CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998/12/22,815097,1972
82,CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",2017/9/18,813672,1988
83,CDW,CDW Corporation,Information Technology,Technology Distributors,"Vernon Hills, Illinois",2019/9/23,1402057,1984
84,CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",2022/2/2,1868275,1999
85,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008/8/27,1324404,1946
86,CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016/1/29,759944,1828
87,CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015/12/29,313927,1847
88,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007/3/2,1043277,1905
89,CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016/9/8,1091667,1993
90,CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976/6/30,1739940,1982
91,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997/12/18,20286,1950
92,CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1957/3/4,21665,1806
93,CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",1969/3/31,21076,1913
94,CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002/11/19,1166691,1963
95,CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006/8/11,1156375,1848
96,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011/4/28,1058090,1993
97,CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1965/3/31,26172,1919
98,CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1957/3/4,811156,1886
99,CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",2016/3/30,1071739,1984
100,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985/7/31,1130310,1882
101,COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",1998/7/1,927628,1994
102,COIN,Coinbase,Financials,Financial Exchanges & Data,"New York City, New York",2025/5/19,1679788,2012
103,COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",2016/9/23,711404,1958
104,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957/3/4,1163165,2002
105,COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",2001/8/30,1140859,1985
106,COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993/10/1,909832,1976
107,CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2018/6/20,1175454,2000
108,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957/3/4,16732,1869
109,CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018/7/2,900075,1982
110,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",2022/4/4,906345,1981
111,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021/5/14,1100682,1947
112,CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",2008/9/15,1108524,1999
113,CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",2024/6/24,1535527,2011
114,CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",1993/12/1,858877,1984
115,CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",2022/9/19,1057352,1987
116,CSX,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",1957/3/4,277948,1980
117,CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",2001/3/1,723254,1929
118,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008/6/23,858470,2021 (1989)
119,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006/11/17,1058290,1994
120,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019/6/3,1755672,2019
121,CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957/3/4,64803,1996
122,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957/3/4,93410,1879
123,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",2021/3/22,1590895,1973
124,D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",2016/11/30,715957,1983
125,DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",2013/9/11,27904,1929
126,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,"San Francisco, California",2025/3/24,1792789,2012
127,DAY,Dayforce,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",2021/9/20,1725057,1992
128,DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019/6/3,1666700,2017 (1802)
129,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957/3/4,315189,1837
130,DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",2024/3/18,910521,1973
131,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024/9/23,1571996,2016
132,DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",2012/12/3,29534,1939
133,DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",2002/12/12,1022079,1967
134,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005/6/22,882184,1978
135,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",1998/11/18,313616,1969
136,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"Burbank, California",1976/6/30,1744489,1923
137,DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",2016/5/18,1297996,2004
138,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",2011/12/19,935703,1986
139,DOC,Healthpeak Properties,Real Estate,Health Care REITs,"Denver, Colorado",2008/3/31,765880,1985
140,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1985/10/31,29905,1955
141,DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",2019/4/1,1751788,2019 (1897)
142,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020/5/12,1286681,1960
143,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",1995/5/31,940944,1938
144,DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",1957/3/4,936340,1995
145,DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976/6/30,1326160,1904
146,DVA,DaVita,Health Care,Health Care Services,"Denver, Colorado",2008/7/31,927066,1979
147,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000/8/30,1090012,1971
148,DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",2020/5/12,1093557,1999
149,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002/7/22,712515,1982
150,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,"San Jose, California",2002/7/22,1065088,1995
151,ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989/1/31,31462,1923
152,ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",1957/3/4,1047862,1823
153,EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997/6/19,33185,1899
154,EG,Everest Group,Financials,Reinsurance,"Hamilton, Bermuda",2017/6/19,1095073,1973
155,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957/3/4,827052,1886
156,EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",2006/1/5,1001250,1946
157,ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",2002/7/25,1156039,2014 (1946)
158,EMN,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",1994/1/1,915389,1920
159,EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965/3/31,32604,1890
160,ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2021/1/7,1463101,2006
161,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000/11/2,821189,1999
162,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",2021/12/14,1352010,1993
163,EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",2015/3/20,1101239,1998
164,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",2001/12/3,906107,1969
165,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2022/10/3,33213,1888
166,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024/9/23,922621,1925
167,ES,Eversource Energy,Utilities,Electric Utilities,"Hartford, Connecticut",2009/7/24,72741,1966
168,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",2014/4/2,920522,1971
169,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1957/3/4,1551182,1911
170,ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",1957/3/4,65984,1913
171,EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",2018/6/5,1711269,1909
172,EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011/4/1,1099800,1958
173,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957/3/4,1109357,2000
174,EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2025/3/24,895126,1989
175,EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",2007/10/10,746515,1979
176,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",2007/10/2,1324424,1996
177,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",2016/1/19,1289490,1977
178,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957/3/4,37996,1903
179,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018/12/3,1539838,2007
180,FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",2008/9/15,815556,1967
181,FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",2011/7/1,831259,1912
182,FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",2021/12/20,1013237,1978
183,FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980/12/31,1048911,1971
184,FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",1997/11/28,1031296,1997
185,FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",2010/12/20,1048695,1996
186,FI,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",2001/4/2,798354,1984
187,FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",2023/3/20,814547,1956
188,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006/11/10,1136893,1968
189,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996/3/29,35527,1858
190,FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York",2019/3/19,1754301,2019
191,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019/3/19,1754301,2019
192,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2016/2/1,34903,1962
193,FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",2022/12/19,1274494,1999
194,FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2018/10/11,1262039,2000
195,FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",2016/7/1,1659166,2016
196,GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",1957/3/4,40533,1899
197,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",2024/6/24,1609711,1997
198,GE,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",1957/3/4,40545,1892
199,GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",2023/1/4,1932393,1994
200,GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",2003/3/25,849399,1982
201,GEV,GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",2024/4/2,1996810,2024
202,GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",2004/7/1,882095,1987
203,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1957/3/4,40704,1856
204,GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",1989/4/30,320335,1900
205,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995/2/27,24741,1851
206,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013/6/6,1467858,1908
207,GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",2021/3/22,1474735,1959
208,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006/4/3,1652044,1998
209,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014/4/3,1652044,1998
210,GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",1973/12/31,40987,1925
211,GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2016/4/25,1123360,2000
212,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012/12/12,1121788,1989
213,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",2002/7/22,886982,1869
214,GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1981/6/30,277135,1927
215,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957/3/4,45012,1919
216,HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984/9/30,46080,1923
217,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997/8/28,49196,1866
218,HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",2015/1/27,860730,1968
219,HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988/3/31,354950,1978
220,HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",1984/5/31,4447,1919
221,HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",1957/3/4,874766,1810
222,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2018/1/3,1501585,2011
223,HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017/6/19,1585689,1919
224,HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016/3/30,859737,1985
225,HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1957/3/4,773840,1906
226,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015/11/2,1645590,2015
227,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974/12/31,47217,1939 (2015)
228,HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009/3/4,48465,1891
229,HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",2015/3/17,1000228,1932
230,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007/3/20,1070750,1993
231,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1957/3/4,47111,1894
232,HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",2023/10/18,48898,1888
233,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012/12/10,49071,1961
234,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",2016/10/21,4281,1888
235,IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957/3/4,51143,1911
236,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007/9/26,1571949,2000
237,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",2017/1/5,874716,1983
238,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019/8/9,832101,1988
239,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",1976/3/31,51253,1958 (1889)
240,INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2017/2/28,879169,1991
241,INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",1976/12/31,50863,1968
242,INTU,Intuit,Information Technology,Application Software,"Mountain View, California",2000/12/5,896878,1983
243,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",2022/9/19,1687229,2012
244,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957/3/4,51434,1898
245,IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",1992/10/1,51644,1961 (1930)
246,IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017/8/29,1478242,1982
247,IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",2020/3/3,1699150,1859
248,IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts",2009/1/6,1020569,1951
249,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",2008/6/2,1035267,1995
250,IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017/4/5,749251,1979
251,ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",1986/2/28,49826,1912
