Of course. Here is a hypothetical model portfolio constructed from the provided list of 20 utility stocks. This example is designed to illustrate a specific investment strategy aimed at potentially outperforming a market-cap-weighted utilities index like the S&P 500 Utilities Index.

***

**Disclaimer:** This is a hypothetical, theoretical model portfolio created for illustrative purposes only. It is not financial advice. Actual investment decisions should be based on your own comprehensive research, risk tolerance, and consultation with a qualified financial advisor.

***

### **Underlying Strategy: Hybrid Growth and Quality Focus**

The core logic behind this portfolio construction is to move beyond a simple market-cap weighting and make active "bets" on specific themes within the utilities sector. The goal is to outperform the benchmark by overweighting companies with superior growth prospects and strong operational quality, while underweighting those perceived to have lower growth or higher operational/regulatory risk.

The strategy is built on three key pillars:

1.  **Overweighting Secular Growth:** Prioritizing companies with significant exposure to the clean energy transition (renewables like wind and solar), grid modernization, and other long-term growth drivers like LNG (Liquefied Natural Gas) exports or water infrastructure.
2.  **Focus on Quality & Execution:** Favoring companies with strong balance sheets, constructive regulatory relationships, and a proven track record of operational excellence and consistent dividend growth.
3.  **Strategic Diversification:** While concentrating on top picks, the portfolio maintains broad diversification across different types of utilities (electric, natural gas, water, multi-utility) and geographic regions to mitigate single-stock or regional regulatory risk.

This approach leads to a tiered allocation system.

### **Hypothetical Model Portfolio: "Growth & Quality Utilities Fund"**

The stocks are grouped into three tiers based on their role in the portfolio and the conviction behind their strategic positioning.

| Ticker | Company Name                  | **Weight (%)** | Tier & Rationale                                                                                                                              |
| **D**    | Dominion Energy, Inc.         | **2.5%**       | **Tier 3 (Value/Turnaround):** A large utility that has undergone significant strategic repositioning. This is a "show me" story with potential upside if its new strategy (focused on regulated operations) succeeds. |
| **PPL**  | PPL Corporation               | **2.0%**       | **Tier 3 (Value/Turnaround):** After divesting its UK business, PPL is now a pure-play U.S. regulated utility. Lower weight reflects the integration risk and need to prove its new strategic direction. |
| **FE**   | FirstEnergy Corp.             | **2.0%**       | **Tier 3 (Value/Turnaround):** A turnaround story that has been working to move past previous governance issues. Lower weight reflects this residual risk, but offers value potential if execution continues. |
| **NI**   | NiSource Inc.                 | **2.0%**       | **Tier 3 (Value/Turnaround):** A gas and electric utility that has been focused on safety investments and simplifying its business. Lower weight accounts for its past operational challenges. |
| **Total**|                               | **100.0%**     |                                                                                                                                               |

### **Summary of How This Strategy Aims to Outperform**

*   **Concentrated Bets:** The portfolio is significantly overweight its top 4 holdings (NEE, CEG, SRE, AWK) at **40.5%**, compared to what would be a much lower allocation in a market-cap-weighted index. This concentration is designed to capture outsized returns from these perceived leaders.
*   **Underweighting Perceived Risk:** Companies in the "Value/Turnaround" category (D, PPL, FE, NI) are intentionally underweighted. While they may offer high returns, they carry higher execution or headline risk. This portfolio takes a cautious approach, participating in potential upside but limiting downside risk.
*   **Emphasis on Growth Drivers:** The portfolio has a clear bias towards renewables, clean energy, and modern infrastructure, which are expected to be the primary drivers of earnings growth in the sector for the next decade.
