model,sector,time split,volatility
gemini,financials,Oct,0.03589
grok3,financials,Oct,0.05537
grok3-mini,financials,Oct,0.05097
gpt4o,information_technology,Oct,0.0256
gpt4.1,information_technology,Oct,0.02729
o4-mini,information_technology,Oct,0.02843
sonnet-3.7,information_technology,Oct,0.02894
sonnet-4,information_technology,Oct,0.02928
opus-4,information_technology,Oct,0.02306
dsV3,information_technology,Oct,0.03296
dsR1,information_technology,Oct,0.03645
gemini,information_technology,Oct,0.02452
grok3,information_technology,Oct,0.02917
grok3-mini,information_technology,Oct,0.02053
gpt4o,communication_services,Oct,0.05058
gpt4.1,communication_services,Oct,0.04762
o4-mini,communication_services,Oct,0.04636
sonnet-3.7,communication_services,Oct,0.0474
sonnet-4,communication_services,Oct,0.04899
opus-4,communication_services,Oct,0.04914
dsV3,communication_services,Oct,0.05098
dsR1,communication_services,Oct,0.05058
gemini,communication_services,Oct,0.0479
grok3,communication_services,Oct,0.04641
grok3-mini,communication_services,Oct,0.05535
gpt4o,utilities,Oct,0.02421
gpt4.1,utilities,Oct,0.02389
o4-mini,utilities,Oct,0.02474
sonnet-3.7,utilities,Oct,0.02354
sonnet-4,utilities,Oct,0.02488
opus-4,utilities,Oct,0.02547
dsV3,utilities,Oct,0.02395
dsR1,utilities,Oct,0.02152
gemini,utilities,Oct,0.02282
grok3,utilities,Oct,0.02387
grok3-mini,utilities,Oct,0.02167
gpt4o,real_estate,Oct,0.02507
gpt4.1,real_estate,Oct,0.02543
o4-mini,real_estate,Oct,0.02625
sonnet-3.7,real_estate,Oct,0.02624
sonnet-4,real_estate,Oct,0.02612
opus-4,real_estate,Oct,0.0248
dsV3,real_estate,Oct,0.02672
dsR1,real_estate,Oct,0.02645
gemini,real_estate,Oct,0.02712
grok3,real_estate,Oct,0.0235
grok3-mini,real_estate,Oct,0.0246
gpt4o,energy,Jan,0.02761
gpt4.1,energy,Jan,0.02697
o4-mini,energy,Jan,0.02804
sonnet-3.7,energy,Jan,0.02749
sonnet-4,energy,Jan,0.02711
opus-4,energy,Jan,0.02733
dsV3,energy,Jan,0.02762
dsR1,energy,Jan,0.02876
gemini,energy,Jan,0.02717
grok3,energy,Jan,0.02689
grok3-mini,energy,Jan,0.02679
gpt4o,materials,Jan,0.02419
gpt4.1,materials,Jan,0.02291
o4-mini,materials,Jan,0.02578
sonnet-3.7,materials,Jan,0.02393
sonnet-4,materials,Jan,0.0246
opus-4,materials,Jan,0.02345
dsV3,materials,Jan,0.02277
dsR1,materials,Jan,0.02317
gemini,materials,Jan,0.02395
grok3,materials,Jan,0.02296
grok3-mini,materials,Jan,0.02404
gpt4o,industrials,Jan,0.02019
gpt4.1,industrials,Jan,0.0202
o4-mini,industrials,Jan,0.02007
sonnet-3.7,industrials,Jan,0.02396
sonnet-4,industrials,Jan,0.02149
opus-4,industrials,Jan,0.02026
dsV3,industrials,Jan,0.02129
dsR1,industrials,Jan,0.02293
gemini,industrials,Jan,0.01757
grok3,industrials,Jan,0.02136
grok3-mini,industrials,Jan,0.01855
gpt4o,consumer_discretionary,Jan,0.0455
gpt4.1,consumer_discretionary,Jan,0.04303
o4-mini,consumer_discretionary,Jan,0.0457
sonnet-3.7,consumer_discretionary,Jan,0.04761
sonnet-4,consumer_discretionary,Jan,0.04983
opus-4,consumer_discretionary,Jan,0.04697
dsV3,consumer_discretionary,Jan,0.04898
dsR1,consumer_discretionary,Jan,0.04386
gemini,consumer_discretionary,Jan,0.04682
grok3,consumer_discretionary,Jan,0.04646
grok3-mini,consumer_discretionary,Jan,0.0391
gpt4o,consumer_staples,Jan,0.02611
gpt4.1,consumer_staples,Jan,0.02612
o4-mini,consumer_staples,Jan,0.02589
sonnet-3.7,consumer_staples,Jan,0.02546
sonnet-4,consumer_staples,Jan,0.02717
opus-4,consumer_staples,Jan,0.02529
dsV3,consumer_staples,Jan,0.03491
dsR1,consumer_staples,Jan,0.02246
gemini,consumer_staples,Jan,0.02839
grok3,consumer_staples,Jan,0.02322
grok3-mini,consumer_staples,Jan,0.02952
gpt4o,health_care,Jan,0.021
gpt4.1,health_care,Jan,0.02216
o4-mini,health_care,Jan,0.0265
sonnet-3.7,health_care,Jan,0.02614
sonnet-4,health_care,Jan,0.02243
opus-4,health_care,Jan,0.02798
dsV3,health_care,Jan,0.02004
dsR1,health_care,Jan,0.02138
gemini,health_care,Jan,0.01969
grok3,health_care,Jan,0.03255
grok3-mini,health_care,Jan,0.02938
gpt4o,financials,Jan,0.0323
gpt4.1,financials,Jan,0.03112
o4-mini,financials,Jan,0.03278
sonnet-3.7,financials,Jan,0.03013
sonnet-4,financials,Jan,0.03099
opus-4,financials,Jan,0.035
dsV3,financials,Jan,0.0387
dsR1,financials,Jan,0.03545
gemini,financials,Jan,0.02995
grok3,financials,Jan,0.04049
grok3-mini,financials,Jan,0.0351
gpt4o,information_technology,Jan,0.04361
gpt4.1,information_technology,Jan,0.04904
o4-mini,information_technology,Jan,0.04117
sonnet-3.7,information_technology,Jan,0.05189
sonnet-4,information_technology,Jan,0.0459
opus-4,information_technology,Jan,0.04455
dsV3,information_technology,Jan,0.04708
dsR1,information_technology,Jan,0.05359
gemini,information_technology,Jan,0.0532
grok3,information_technology,Jan,0.04255
grok3-mini,information_technology,Jan,0.04423
gpt4o,communication_services,Jan,0.02736
gpt4.1,communication_services,Jan,0.02679
o4-mini,communication_services,Jan,0.02691
sonnet-3.7,communication_services,Jan,0.02589
sonnet-4,communication_services,Jan,0.02976
opus-4,communication_services,Jan,0.03005
dsV3,communication_services,Jan,0.03005
dsR1,communication_services,Jan,0.03052
gemini,communication_services,Jan,0.03277
grok3,communication_services,Jan,0.02712
grok3-mini,communication_services,Jan,0.02766
gpt4o,utilities,Jan,0.0318
gpt4.1,utilities,Jan,0.03259
o4-mini,utilities,Jan,0.03442
sonnet-3.7,utilities,Jan,0.02801
sonnet-4,utilities,Jan,0.02531
opus-4,utilities,Jan,0.02335
dsV3,utilities,Jan,0.03149
dsR1,utilities,Jan,0.0302
gemini,utilities,Jan,0.02387
grok3,utilities,Jan,0.03527
grok3-mini,utilities,Jan,0.03143
gpt4o,real_estate,Jan,0.02168
gpt4.1,real_estate,Jan,0.0234
o4-mini,real_estate,Jan,0.01878
sonnet-3.7,real_estate,Jan,0.0215
sonnet-4,real_estate,Jan,0.02336
opus-4,real_estate,Jan,0.0232
dsV3,real_estate,Jan,0.02183
dsR1,real_estate,Jan,0.02463
gemini,real_estate,Jan,0.0199
grok3,real_estate,Jan,0.0217
grok3-mini,real_estate,Jan,0.01971
gpt4o,energy,Apr,0.04334
gpt4.1,energy,Apr,0.04395
o4-mini,energy,Apr,0.04514
sonnet-3.7,energy,Apr,0.04163
sonnet-4,energy,Apr,0.03947
opus-4,energy,Apr,0.04255
dsV3,energy,Apr,0.04397
dsR1,energy,Apr,0.04352
gemini,energy,Apr,0.04259
grok3,energy,Apr,0.04266
grok3-mini,energy,Apr,0.04224
gpt4o,materials,Apr,0.04466
gpt4.1,materials,Apr,0.0454
o4-mini,materials,Apr,0.04142
sonnet-3.7,materials,Apr,0.04638
sonnet-4,materials,Apr,0.04344
opus-4,materials,Apr,0.04475
dsV3,materials,Apr,0.04197
dsR1,materials,Apr,0.04472
gemini,materials,Apr,0.04288
grok3,materials,Apr,0.0439
grok3-mini,materials,Apr,0.03957
gpt4o,industrials,Apr,0.05797
gpt4.1,industrials,Apr,0.06077
o4-mini,industrials,Apr,0.05417
sonnet-3.7,industrials,Apr,0.06608
sonnet-4,industrials,Apr,0.06156
opus-4,industrials,Apr,0.05998
dsV3,industrials,Apr,0.0612
dsR1,industrials,Apr,0.06554
gemini,industrials,Apr,0.05917
grok3,industrials,Apr,0.06242
grok3-mini,industrials,Apr,0.05857
gpt4o,consumer_discretionary,Apr,0.05435
gpt4.1,consumer_discretionary,Apr,0.0477
o4-mini,consumer_discretionary,Apr,0.05321
sonnet-3.7,consumer_discretionary,Apr,0.0525
sonnet-4,consumer_discretionary,Apr,0.05153
opus-4,consumer_discretionary,Apr,0.05155
dsV3,consumer_discretionary,Apr,0.05303
dsR1,consumer_discretionary,Apr,0.0473
gemini,consumer_discretionary,Apr,0.04755
grok3,consumer_discretionary,Apr,0.0519
grok3-mini,consumer_discretionary,Apr,0.04616
gpt4o,consumer_staples,Apr,0.0133
gpt4.1,consumer_staples,Apr,0.01279
o4-mini,consumer_staples,Apr,0.0131
sonnet-3.7,consumer_staples,Apr,0.01362
sonnet-4,consumer_staples,Apr,0.01332
opus-4,consumer_staples,Apr,0.01481
dsV3,consumer_staples,Apr,0.01409
dsR1,consumer_staples,Apr,0.01818
gemini,consumer_staples,Apr,0.01396
grok3,consumer_staples,Apr,0.01362
grok3-mini,consumer_staples,Apr,0.01278
gpt4o,health_care,Apr,0.02314
gpt4.1,health_care,Apr,0.02676
o4-mini,health_care,Apr,0.02361
sonnet-3.7,health_care,Apr,0.0203
sonnet-4,health_care,Apr,0.02741
opus-4,health_care,Apr,0.01853
dsV3,health_care,Apr,0.03051
dsR1,health_care,Apr,0.02518
gemini,health_care,Apr,0.02014
grok3,health_care,Apr,0.02335
grok3-mini,health_care,Apr,0.01851
gpt4o,financials,Apr,0.05393
gpt4.1,financials,Apr,0.05176
o4-mini,financials,Apr,0.06203
sonnet-3.7,financials,Apr,0.04347
sonnet-4,financials,Apr,0.05286
opus-4,financials,Apr,0.06029
dsV3,financials,Apr,0.06202
dsR1,financials,Apr,0.06189
gemini,financials,Apr,0.04819
grok3,financials,Apr,0.06756
grok3-mini,financials,Apr,0.05706
gpt4o,information_technology,Apr,0.09741
gpt4.1,information_technology,Apr,0.10243
o4-mini,information_technology,Apr,0.09951
sonnet-3.7,information_technology,Apr,0.10605
sonnet-4,information_technology,Apr,0.10253
opus-4,information_technology,Apr,0.10365
dsV3,information_technology,Apr,0.0934
dsR1,information_technology,Apr,0.11083
gemini,information_technology,Apr,0.10667
grok3,information_technology,Apr,0.09495
grok3-mini,information_technology,Apr,0.10362
gpt4o,communication_services,Apr,0.06135
gpt4.1,communication_services,Apr,0.0591
o4-mini,communication_services,Apr,0.06254
sonnet-3.7,communication_services,Apr,0.06023
sonnet-4,communication_services,Apr,0.06681
opus-4,communication_services,Apr,0.06662
dsV3,communication_services,Apr,0.06696
dsR1,communication_services,Apr,0.06339
gemini,communication_services,Apr,0.06441
grok3,communication_services,Apr,0.06104
grok3-mini,communication_services,Apr,0.06635
gpt4o,utilities,Apr,0.01505
gpt4.1,utilities,Apr,0.01511
o4-mini,utilities,Apr,0.01488
sonnet-3.7,utilities,Apr,0.02337
sonnet-4,utilities,Apr,0.04081
opus-4,utilities,Apr,0.03398
dsV3,utilities,Apr,0.01508
dsR1,utilities,Apr,0.01617
gemini,utilities,Apr,0.02634
grok3,utilities,Apr,0.01454
grok3-mini,utilities,Apr,0.0156
gpt4o,real_estate,Apr,0.02843
gpt4.1,real_estate,Apr,0.02763
o4-mini,real_estate,Apr,0.03258
sonnet-3.7,real_estate,Apr,0.02711
sonnet-4,real_estate,Apr,0.03007
opus-4,real_estate,Apr,0.02883
dsV3,real_estate,Apr,0.02889
dsR1,real_estate,Apr,0.02728
gemini,real_estate,Apr,0.02674
grok3,real_estate,Apr,0.03051
grok3-mini,real_estate,Apr,0.02689
gpt4o,energy,Jan_6months,0.05644
gpt4.1,energy,Jan_6months,0.05679
o4-mini,energy,Jan_6months,0.057
sonnet-3.7,energy,Jan_6months,0.05512
sonnet-4,energy,Jan_6months,0.05353
opus-4,energy,Jan_6months,0.05517
dsV3,energy,Jan_6months,0.05286
dsR1,energy,Jan_6months,0.05699
gemini,energy,Jan_6months,0.05653
grok3,energy,Jan_6months,0.05757
grok3-mini,energy,Jan_6months,0.05234
gpt4o,materials,Jan_6months,0.04142
gpt4.1,materials,Jan_6months,0.03824
o4-mini,materials,Jan_6months,0.04367
sonnet-3.7,materials,Jan_6months,0.03912
sonnet-4,materials,Jan_6months,0.04497
opus-4,materials,Jan_6months,0.04029
dsV3,materials,Jan_6months,0.04317
dsR1,materials,Jan_6months,0.04095
gemini,materials,Jan_6months,0.04031
grok3,materials,Jan_6months,0.04022
grok3-mini,materials,Jan_6months,0.04611
gpt4o,industrials,Jan_6months,0.04346
gpt4.1,industrials,Jan_6months,0.04601
o4-mini,industrials,Jan_6months,0.04152
sonnet-3.7,industrials,Jan_6months,0.04847
sonnet-4,industrials,Jan_6months,0.04606
opus-4,industrials,Jan_6months,0.04481
dsV3,industrials,Jan_6months,0.04562
dsR1,industrials,Jan_6months,0.04859
gemini,industrials,Jan_6months,0.04326
grok3,industrials,Jan_6months,0.04646
grok3-mini,industrials,Jan_6months,0.04315
gpt4o,consumer_discretionary,Jan_6months,0.05164
gpt4.1,consumer_discretionary,Jan_6months,0.04847
o4-mini,consumer_discretionary,Jan_6months,0.05208
sonnet-3.7,consumer_discretionary,Jan_6months,0.05239
sonnet-4,consumer_discretionary,Jan_6months,0.05656
opus-4,consumer_discretionary,Jan_6months,0.05264
dsV3,consumer_discretionary,Jan_6months,0.05349
dsR1,consumer_discretionary,Jan_6months,0.04683
gemini,consumer_discretionary,Jan_6months,0.05315
grok3,consumer_discretionary,Jan_6months,0.05205
grok3-mini,consumer_discretionary,Jan_6months,0.04655
gpt4o,consumer_staples,Jan_6months,0.02098
gpt4.1,consumer_staples,Jan_6months,0.02076
o4-mini,consumer_staples,Jan_6months,0.0206
sonnet-3.7,consumer_staples,Jan_6months,0.02159
sonnet-4,consumer_staples,Jan_6months,0.02271
opus-4,consumer_staples,Jan_6months,0.02141
dsV3,consumer_staples,Jan_6months,0.02944
dsR1,consumer_staples,Jan_6months,0.02063
gemini,consumer_staples,Jan_6months,0.02553
grok3,consumer_staples,Jan_6months,0.01924
grok3-mini,consumer_staples,Jan_6months,0.02493
gpt4o,health_care,Jan_6months,0.04692
gpt4.1,health_care,Jan_6months,0.04498
o4-mini,health_care,Jan_6months,0.04235
sonnet-3.7,health_care,Jan_6months,0.03713
sonnet-4,health_care,Jan_6months,0.04952
opus-4,health_care,Jan_6months,0.04219
dsV3,health_care,Jan_6months,0.05443
dsR1,health_care,Jan_6months,0.04931
gemini,health_care,Jan_6months,0.04275
grok3,health_care,Jan_6months,0.04287
grok3-mini,health_care,Jan_6months,0.04226
gpt4o,financials,Jan_6months,0.04483
gpt4.1,financials,Jan_6months,0.0433
o4-mini,financials,Jan_6months,0.04928
sonnet-3.7,financials,Jan_6months,0.03935
sonnet-4,financials,Jan_6months,0.04408
opus-4,financials,Jan_6months,0.04877
dsV3,financials,Jan_6months,0.05187
dsR1,financials,Jan_6months,0.05035
gemini,financials,Jan_6months,0.04089
grok3,financials,Jan_6months,0.05571
grok3-mini,financials,Jan_6months,0.0476
gpt4o,communication_services,Jan_6months,0.04782
gpt4.1,communication_services,Jan_6months,0.04629
o4-mini,communication_services,Jan_6months,0.04691
sonnet-3.7,communication_services,Jan_6months,0.04521
sonnet-4,communication_services,Jan_6months,0.05097
opus-4,communication_services,Jan_6months,0.05143
dsV3,communication_services,Jan_6months,0.05127
dsR1,communication_services,Jan_6months,0.04964
gemini,communication_services,Jan_6months,0.05002
grok3,communication_services,Jan_6months,0.04669
grok3-mini,communication_services,Jan_6months,0.05032
gpt4o,utilities,Jan_6months,0.03165
gpt4.1,utilities,Jan_6months,0.03239
o4-mini,utilities,Jan_6months,0.03388
sonnet-3.7,utilities,Jan_6months,0.03164
sonnet-4,utilities,Jan_6months,0.04015
opus-4,utilities,Jan_6months,0.03558
dsV3,utilities,Jan_6months,0.03225
dsR1,utilities,Jan_6months,0.02994
gemini,utilities,Jan_6months,0.03144
grok3,utilities,Jan_6months,0.03319
grok3-mini,utilities,Jan_6months,0.03075
gpt4o,real_estate,Jan_6months,0.02616
gpt4.1,real_estate,Jan_6months,0.02635
o4-mini,real_estate,Jan_6months,0.02776
sonnet-3.7,real_estate,Jan_6months,0.02515
sonnet-4,real_estate,Jan_6months,0.02798
opus-4,real_estate,Jan_6months,0.02702
dsV3,real_estate,Jan_6months,0.02632
dsR1,real_estate,Jan_6months,0.02687
gemini,real_estate,Jan_6months,0.02431
grok3,real_estate,Jan_6months,0.02758
grok3-mini,real_estate,Jan_6months,0.02462
gpt4o,information_technology,Jan_6months,0.06927
gpt4.1,information_technology,Jan_6months,0.07263
o4-mini,information_technology,Jan_6months,0.06969
sonnet-3.7,information_technology,Jan_6months,0.07469
sonnet-4,information_technology,Jan_6months,0.0719
opus-4,information_technology,Jan_6months,0.0728
dsV3,information_technology,Jan_6months,0.06796
dsR1,information_technology,Jan_6months,0.07808
gemini,information_technology,Jan_6months,0.07611
grok3,information_technology,Jan_6months,0.06738
grok3-mini,information_technology,Jan_6months,0.07278
gpt5,energy,Jan,0.02797
gpt5,materials,Jan,0.02359
gpt5,energy,Apr,0.04177
gpt5,materials,Apr,0.04604
gpt5,industrials,Jan,0.02426
gpt5,consumer_discretionary,Jan,0.03837
gpt5,consumer_staples,Jan,0.02853
gpt5,health_care,Jan,0.01932
gpt5,financials,Jan,0.02619
gpt5,information_technology,Jan,0.05405
gpt5,communication_services,Jan,0.02857
gpt5,utilities,Jan,0.02524
gpt5,real_estate,Jan,0.02391
gpt5,industrials,Apr,0.07765
gpt5,consumer_discretionary,Apr,0.04093
gpt5,consumer_staples,Apr,0.01282
gpt5,health_care,Apr,0.01872
gpt5,financials,Apr,0.04389
gpt5,information_technology,Apr,0.11119
gpt5,communication_services,Apr,0.05961
gpt5,utilities,Apr,0.03174
gpt5,real_estate,Apr,0.02742
