model,sector,effective_rank
claude-opus-4-20250514,communication_services,9.335434708725758
deepseek-chat,communication_services,9.33543470872574
deepseek-reasoner,communication_services,9.436462087297425
gemini-2.5-pro-preview-05-06,communication_services,9.259883003844518
grok-3-latest,communication_services,9.259883003844527
grok-3-mini-latest,communication_services,8.653136905025601
gpt-4o-2024-11-20,utilities,5.228679911942943
gpt-4.1,utilities,8.25408223402424
o4-mini,utilities,8.22452344560877
gpt-5,utilities,3.674960280972864
claude-3-7-sonnet-20250219,utilities,4.509325944084181
claude-sonnet-4-20250514,utilities,3.245659327676323
claude-opus-4-20250514,utilities,3.252607937697714
deepseek-chat,utilities,7.518497563201866
deepseek-reasoner,utilities,8.65129573897818
gemini-2.5-pro-preview-05-06,utilities,4.6609040132881905
grok-3-latest,utilities,5.091586110460349
grok-3-mini-latest,utilities,7.717845026612062
gpt-4o-2024-11-20,real_estate,7.2036181072454495
gpt-4.1,real_estate,6.393851316584384
o4-mini,real_estate,6.096533253876898
gpt-5,real_estate,6.466840235960685
claude-3-7-sonnet-20250219,real_estate,6.4046640092352165
claude-sonnet-4-20250514,real_estate,5.769456580283633
claude-opus-4-20250514,real_estate,6.434395324198909
deepseek-chat,real_estate,6.801395920243882
deepseek-reasoner,real_estate,6.378369819727729
gemini-2.5-pro-preview-05-06,real_estate,7.534105250490643
grok-3-latest,real_estate,7.413424608013572
grok-3-mini-latest,real_estate,7.447625851524832
